%IDData,%IDUnidade,%IDMunicipio,%IDExame,Qtde. Vendas,Vlr. Vendas,Vlr. Unit. Vendas
01/01/2019,54,3144805,3270,109,337.9,3.1
01/01/2019,54,3144805,3778,35,340.9,9.74
01/01/2019,54,3144805,3780,1,40.89,40.89
01/01/2019,54,3144805,3780,4,286,71.5
01/01/2019,54,3144805,3797,1,15.19,15.19
01/01/2019,54,3144805,3799,1,17.62,17.62
01/01/2019,54,3144805,3803,14,52.64,3.76
01/01/2019,54,3144805,3820,1,47.39,47.39
01/01/2019,54,3144805,3820,1,64.92,64.92
01/01/2019,54,3144805,3820,3,53.4,17.8
01/01/2019,54,3144805,3822,1,52.93,52.93
01/01/2019,54,3144805,3822,2,105.86,52.93
01/01/2019,54,3144805,3822,8,110.4,13.8
01/01/2019,54,3144805,3873,1,6.08,6.08
01/01/2019,54,3144805,3873,4,14.6,3.65
01/01/2019,54,3144805,3885,44,72.6,1.65
01/01/2019,54,3144805,3894,2,25.62,12.81
01/01/2019,54,3144805,3894,3,18,6.
01/01/2019,54,3144805,3894,58,417.6,7.2
01/01/2019,54,3144805,3921,6,216,36.
01/01/2019,54,3144805,3922,7,252,36.
01/01/2019,54,3144805,10199,1,38,38.
01/01/2019,54,3144805,10254,37,768.86,20.78
01/01/2019,53,3144805,12505,1,104.59,104.59
01/01/2019,54,3144805,13294,6,4075.08,679.18
01/01/2019,9,3144805,15463,1,1500,1500.
01/01/2019,54,3144805,16839,74,493.58,6.67
01/01/2019,54,3144805,18286,2,28.6,14.3
01/01/2019,54,3144805,18307,8,412.8,51.6
01/01/2019,53,3144805,18361,1,129.39,129.39
01/01/2019,54,3144805,18361,10,1251,125.1
01/01/2019,54,3144805,18531,2,43.1,21.55
01/01/2019,54,3144805,19561,24,191.04,7.96
01/01/2019,54,3144805,20533,1,42.8,42.8
01/01/2019,54,3144805,23849,12,166.8,13.9
01/01/2019,53,3144805,23849,72,1000.8,13.9
01/01/2019,54,3144805,33407,13,113.62,8.74
01/01/2019,54,3144805,35222,1,1605,1605.
01/01/2019,54,3144805,35614,1,15.7,15.7
01/01/2019,54,3144805,71172,1,450.98,450.98
01/01/2019,54,3144805,72232,1,1380,1380.
01/02/2019,54,3144805,13,3,61.44,20.48
01/02/2019,54,3144805,13,10,107.2,10.72
01/02/2019,54,3144805,25,13,379.73,29.21
01/02/2019,54,3144805,25,58,696,12.
01/02/2019,54,3144805,25,1516,13644,9.
01/02/2019,54,3144805,50,2,22.48,11.24
01/02/2019,54,3144805,54,2,23.82,11.91
01/02/2019,54,3144805,55,1,8.41,8.41
01/02/2019,54,3144805,55,35,374.5,10.7
01/02/2019,54,3144805,56,3,14.82,4.94
01/02/2019,54,3144805,58,1,39.8,39.8
01/02/2019,54,3144805,59,1,21.8,21.8
01/02/2019,54,3144805,59,4,64,16.
01/02/2019,54,3144805,61,9,96.48,10.72
01/02/2019,54,3144805,62,10,107.2,10.72
01/02/2019,54,3144805,64,9,35.1,3.9
01/02/2019,54,3144805,68,1,11.68,11.68
01/02/2019,53,3144805,68,1,12.49,12.49
01/02/2019,54,3144805,68,50,390,7.8
01/02/2019,54,3144805,72,15,393.3,26.22
01/02/2019,54,3144805,73,6,64.32,10.72
01/02/2019,54,3144805,74,7,75.04,10.72
01/02/2019,54,3144805,76,2,35.82,17.91
01/02/2019,54,3144805,100,9,51.12,5.68
01/02/2019,54,3144805,108,2,110,55.
01/02/2019,54,3144805,114,2,24.8,12.4
01/02/2019,53,3144805,119,1,4.46,4.46
01/02/2019,54,3144805,119,38,123.88,3.26
01/02/2019,54,3144805,130,4,81.4,20.35
01/02/2019,54,3144805,137,6,36.6,6.1
01/02/2019,54,3144805,137,57,125.4,2.2
01/02/2019,54,3144805,157,27,603.18,22.34
01/02/2019,54,3144805,166,1,4.4,4.4
01/02/2019,54,3144805,172,9,32.13,3.57
01/02/2019,54,3144805,175,1,10.72,10.72
01/02/2019,54,3144805,175,1,12.15,12.15
01/02/2019,54,3144805,180,7,73.57,10.51
01/02/2019,54,3144805,194,1,5.22,5.22
01/02/2019,54,3144805,210,1,45.83,45.83
01/02/2019,54,3144805,210,17,321.3,18.9
01/02/2019,54,3144805,214,7,66.64,9.52
01/02/2019,54,3144805,227,5,40.5,8.1
01/02/2019,54,3144805,235,1,6.78,6.78
01/02/2019,54,3144805,236,1,7.15,7.15
01/02/2019,54,3144805,236,1,9.4,9.4
01/02/2019,54,3144805,254,1,176.67,176.67
